Start Time, Wed Dec 3 16:52:22 GMT-0700 2025
Energy calibration,  Offset: -0.13771282136440277, Slope: 0.09197762608528137, Quadratic: 0
Live Time (s), 7.07
Real Time (s), 7.4
Elapsed Computational, 2848
Spectrum
Channel, Energy (keV), Counts
643, 59.00390075147152, 2
644, 59.0958783775568, 3
645, 59.18785600364208, 0
646, 59.279833629727364, 3
647, 59.371811255812645, 5
648, 59.463788881897926, 2
649, 59.55576650798321, 6
650, 59.64774413406849, 7
651, 59.73972176015377, 5
652, 59.83169938623905, 1
653, 59.92367701232433, 2
654, 60.015654638409615, 0
655, 60.107632264494896, 6
656, 60.19960989058018, 4
657, 60.29158751666546, 3
658, 60.38356514275074, 4
659, 60.47554276883602, 3
660, 60.5675203949213, 4
661, 60.659498021006584, 2
662, 60.751475647091866, 4
663, 60.84345327317715, 2
664, 60.93543089926243, 4
665, 61.02740852534771, 3
666, 61.11938615143299, 3
667, 61.21136377751827, 5
668, 61.303341403603554, 5
669, 61.395319029688835, 2
670, 61.48729665577412, 4
671, 61.5792742818594, 5
672, 61.67125190794468, 5
673, 61.76322953402996, 6
674, 61.85520716011524, 4
675, 61.94718478620052, 2
676, 62.039162412285805, 5
677, 62.131140038371086, 5
678, 62.22311766445637, 3
679, 62.31509529054165, 1
680, 62.40707291662693, 2
681, 62.49905054271221, 3
682, 62.59102816879749, 2
683, 62.683005794882774, 4
684, 62.774983420968056, 3
685, 62.86696104705334, 6
686, 62.95893867313862, 0
687, 63.0509162992239, 3
688, 63.14289392530918, 3
689, 63.23487155139446, 4
690, 63.326849177479744, 3
691, 63.418826803565025, 0
692, 63.51080442965031, 3
693, 63.60278205573559, 2
694, 63.69475968182087, 3
695, 63.78673730790615, 3
696, 63.87871493399143, 7
697, 63.970692560076714, 2
698, 64.062670186162, 4
699, 64.15464781224728, 5
700, 64.24662543833256, 2
701, 64.33860306441784, 4
702, 64.43058069050312, 3
703, 64.5225583165884, 3
704, 64.61453594267368, 2
705, 64.70651356875896, 4
706, 64.79849119484425, 6
707, 64.89046882092953, 3
708, 64.98244644701481, 3
709, 65.07442407310009, 3
710, 65.16640169918537, 6
711, 65.25837932527065, 8
712, 65.35035695135593, 3
713, 65.44233457744122, 1
714, 65.5343122035265, 1
715, 65.62628982961178, 4
716, 65.71826745569706, 3
717, 65.81024508178234, 2
718, 65.90222270786762, 3
719, 65.9942003339529, 3
720, 66.08617796003819, 3
721, 66.17815558612347, 1
722, 66.27013321220875, 4
723, 66.36211083829403, 1
724, 66.45408846437931, 4
725, 66.54606609046459, 2
726, 66.63804371654987, 3
727, 66.73002134263515, 5
728, 66.82199896872044, 3
729, 66.91397659480572, 4
730, 67.005954220891, 3
731, 67.09793184697628, 2
732, 67.18990947306156, 3
733, 67.28188709914684, 3
734, 67.37386472523212, 4
735, 67.4658423513174, 4
736, 67.55781997740269, 2
737, 67.64979760348797, 2
738, 67.74177522957325, 2
739, 67.83375285565853, 3
740, 67.92573048174381, 1
741, 68.0177081078291, 3
742, 68.10968573391438, 3
743, 68.20166335999966, 7
744, 68.29364098608494, 2
745, 68.38561861217022, 5
746, 68.4775962382555, 4
747, 68.56957386434078, 1
748, 68.66155149042606, 8
749, 68.75352911651134, 1
750, 68.84550674259663, 2
751, 68.93748436868191, 2
752, 69.02946199476719, 1
753, 69.12143962085247, 6
754, 69.21341724693775, 4
755, 69.30539487302303, 3
756, 69.39737249910831, 3
757, 69.4893501251936, 2
758, 69.58132775127888, 2
759, 69.67330537736416, 3
760, 69.76528300344944, 7
761, 69.85726062953472, 4
762, 69.94923825562, 3
763, 70.04121588170528, 1
764, 70.13319350779057, 2
765, 70.22517113387585, 5
766, 70.31714875996113, 1
767, 70.40912638604641, 8
768, 70.50110401213169, 3
769, 70.59308163821697, 6
770, 70.68505926430225, 2
771, 70.77703689038754, 1
772, 70.86901451647282, 2
773, 70.9609921425581, 0
774, 71.05296976864338, 3
775, 71.14494739472866, 5
776, 71.23692502081394, 3
777, 71.32890264689922, 6
778, 71.4208802729845, 4
779, 71.51285789906979, 2
780, 71.60483552515507, 3
781, 71.69681315124035, 2
782, 71.78879077732563, 5
783, 71.88076840341091, 6
784, 71.9727460294962, 2
785, 72.06472365558147, 1
786, 72.15670128166676, 3
787, 72.24867890775204, 4
788, 72.34065653383732, 2
789, 72.4326341599226, 3
790, 72.52461178600788, 1
